🕘️更新时间,#genre#
2025-12-24 10:38:26,http://192.168.1.234:8000/hls/4414639920151824520

📺央视频道,#genre#
CETV-1,http://192.168.1.234:8000/hls/4414639920151824520
CETV-4,http://192.168.1.234:8000/hls/1777375439347178336

💰央视付费频道,#genre#

📡卫视频道,#genre#
北京卫视,http://192.168.1.234:8000/hls/4066672803704949932
河南卫视,http://192.168.1.234:8000/hls/6055821497051018836

☘️广东频道,#genre#

☘️浙江频道,#genre#
嘉兴新闻综合,http://192.168.1.234:8000/hls/-4581304850424894790
湖州新闻综合,http://192.168.1.234:8000/hls/7626881637091474509
湖州新闻综合,http://192.168.1.234:8000/hls/-5907688117141370548
湖州新闻综合,http://192.168.1.234:8000/hls/-604470461788820442
湖州文化娱乐,http://192.168.1.234:8000/hls/5189492111636082669
湖州文化娱乐,http://192.168.1.234:8000/hls/8905120963651958312
湖州文化娱乐,http://192.168.1.234:8000/hls/-5102020013743690426
象山综合,http://192.168.1.234:8000/hls/-3026511204068448093
绍兴电视台公共,http://192.168.1.234:8000/hls/4920357122056424848
湖州公共民生,http://192.168.1.234:8000/hls/-4854244242718015321
海宁新闻综合,http://192.168.1.234:8000/hls/1263945881790454353
海宁新闻综合,http://192.168.1.234:8000/hls/-8169015628940341068
海宁新闻综合,http://192.168.1.234:8000/hls/-8683224470509336246
庆元综合,http://192.168.1.234:8000/hls/-896116003613719239

☘️北京频道,#genre#
北京新闻,http://192.168.1.234:8000/hls/-5194257865636465593
北京生活,http://192.168.1.234:8000/hls/-1970176232916621399
北京科教,http://192.168.1.234:8000/hls/-2252625997661405439
北京青年,http://192.168.1.234:8000/hls/-1612470800539629812

☘️上海频道,#genre#
上海第一财经,http://192.168.1.234:8000/hls/-7263104916375555927
新闻综合,http://192.168.1.234:8000/hls/3703208369474893346
第一财经,http://192.168.1.234:8000/hls/9019863690670640877
第一财经,http://192.168.1.234:8000/hls/-5485663076732846117
都市剧场,http://192.168.1.234:8000/hls/-9060433468310619556
金山电视台,http://192.168.1.234:8000/hls/5924243293002332009

☘️重庆频道,#genre#
璧山综合,http://192.168.1.234:8000/hls/-6935178572939895791
璧山综合,http://192.168.1.234:8000/hls/-426876547503482915
铜梁综合,http://192.168.1.234:8000/hls/779819621103028527
铜梁综合,http://192.168.1.234:8000/hls/-3151994454296563754
重庆汽摩,http://192.168.1.234:8000/hls/8161492771294799589
荣昌综合,http://192.168.1.234:8000/hls/7925842509833575652
荣昌综合,http://192.168.1.234:8000/hls/7925842509833575652
潼南综合,http://192.168.1.234:8000/hls/-5295905041553666235
垫江综合,http://192.168.1.234:8000/hls/-7612653703646263295
万州综合,http://192.168.1.234:8000/hls/7409686393315386230
万州三峡移民,http://192.168.1.234:8000/hls/1035442298570503713
万州三峡移民,http://192.168.1.234:8000/hls/-6239256621898970324
万州三峡移民,http://192.168.1.234:8000/hls/7686995893178370952

☘️江苏频道,#genre#
东台综合,http://192.168.1.234:8000/hls/7210883034452761292
句容党建,http://192.168.1.234:8000/hls/-618585982869971615
句容影院,http://192.168.1.234:8000/hls/-2577076547779092532
句容新闻综合,http://192.168.1.234:8000/hls/-8225726934781010563
句容新闻综合,http://192.168.1.234:8000/hls/-4567222368076353888
句容生活,http://192.168.1.234:8000/hls/-7849222495077911464
大丰公共,http://192.168.1.234:8000/hls/-7016442562644252010
如东一套新闻综合,http://192.168.1.234:8000/hls/-1090999222789413541
如东新闻综合,http://192.168.1.234:8000/hls/-4475340259527926067
如东新闻综合,http://192.168.1.234:8000/hls/893710897743415603
姜堰新闻综合,http://192.168.1.234:8000/hls/3190701531071775414
姜堰新闻综合,http://192.168.1.234:8000/hls/5022133615013048702
宜兴紫砂,http://192.168.1.234:8000/hls/2942160056926205260
宜兴紫砂,http://192.168.1.234:8000/hls/5930949012913545209
常熟民生,http://192.168.1.234:8000/hls/589358789997616854
常熟民生,http://192.168.1.234:8000/hls/-8760251858086379312
武进新闻,http://192.168.1.234:8000/hls/-1653281360705419511
武进新闻,http://192.168.1.234:8000/hls/1120483772931946411
武进新闻,http://192.168.1.234:8000/hls/-5909240263641868361
武进生活,http://192.168.1.234:8000/hls/-6296046259771799731
武进生活,http://192.168.1.234:8000/hls/2428661488094837930
江宁电视台综合,http://192.168.1.234:8000/hls/7935415567189667698
沛县新闻综合,http://192.168.1.234:8000/hls/1635836315941247161
沛县新闻综合,http://192.168.1.234:8000/hls/-6596580723894632812
沛县新闻综合,http://192.168.1.234:8000/hls/7503665028366174329
沭阳综合,http://192.168.1.234:8000/hls/-786658238042697733
沭阳综合,http://192.168.1.234:8000/hls/-3024751911525633873
沭阳综合,http://192.168.1.234:8000/hls/7349284558880126596
泗阳综合,http://192.168.1.234:8000/hls/-7081013775071266227
泗阳资讯,http://192.168.1.234:8000/hls/-520780238408846254
泗阳资讯,http://192.168.1.234:8000/hls/-8545131088460391031
涟水综合,http://192.168.1.234:8000/hls/-136714589545608833
涟水综合,http://192.168.1.234:8000/hls/8535317759259112563
涟水综合,http://192.168.1.234:8000/hls/1791274204433298592
滨海新闻综合,http://192.168.1.234:8000/hls/-1856369083997869336
盐都综合,http://192.168.1.234:8000/hls/4529875923701435424
睢宁综合,http://192.168.1.234:8000/hls/-4349414806939213858
睢宁综合,http://192.168.1.234:8000/hls/-5584871367819162256
睢宁综合,http://192.168.1.234:8000/hls/-3424270703781099593
睢宁综合,http://192.168.1.234:8000/hls/-3843649951270544823
苏州社会经济,http://192.168.1.234:8000/hls/7429948351704593490
赣榆新闻综合,http://192.168.1.234:8000/hls/7359769343904746081
赣榆新闻综合,http://192.168.1.234:8000/hls/-7404445300874090299
赣榆新闻综合,http://192.168.1.234:8000/hls/-6497662538124587662
赣榆新闻综合,http://192.168.1.234:8000/hls/-7113554840193349390
金坛新闻,http://192.168.1.234:8000/hls/8628119969556715710
镇江二套社会民生,http://192.168.1.234:8000/hls/-5766775854001214968
镇江新闻综合,http://192.168.1.234:8000/hls/-1819735452521727169
高邮一套新闻综合,http://192.168.1.234:8000/hls/-1781002169091671598
高邮综合,http://192.168.1.234:8000/hls/2890205040861133650
高邮综合,http://192.168.1.234:8000/hls/-7154410751868352173

☘️辽宁频道,#genre#
朝阳新闻综合,http://192.168.1.234:8000/hls/5287963273612852170

☘️湖南频道,#genre#
长沙新闻,http://192.168.1.234:8000/hls/-8938876524916427140
衡阳新闻综合,http://192.168.1.234:8000/hls/6615813851248187035
湘潭新闻综合,http://192.168.1.234:8000/hls/-3470856231380708947
湘潭新闻综合,http://192.168.1.234:8000/hls/1550654953047207138
湘潭公共,http://192.168.1.234:8000/hls/-6445382807189139037

☘️湖北频道,#genre#

☘️广西频道,#genre#
南宁新闻综合,http://192.168.1.234:8000/hls/5233861437755311858
来宾综合,http://192.168.1.234:8000/hls/7492679165143904178

☘️天津频道,#genre#
津南一套,http://192.168.1.234:8000/hls/-8840965332614008868
武清综合,http://192.168.1.234:8000/hls/-4745251273739433443

☘️四川频道,#genre#
乐至综合,http://192.168.1.234:8000/hls/-8364626549951781807
井研综合,http://192.168.1.234:8000/hls/-7879281440964297999
什邡新闻,http://192.168.1.234:8000/hls/-8518907053878551234
仁寿综合,http://192.168.1.234:8000/hls/2752140948330277827
凉山新闻综合,http://192.168.1.234:8000/hls/-2637515312022122719
凉山语,http://192.168.1.234:8000/hls/-1960422800022623850
凉山语,http://192.168.1.234:8000/hls/4238327690932478227
剑阁综合,http://192.168.1.234:8000/hls/-1128267297653294656
名山综合,http://192.168.1.234:8000/hls/-7265684181302364935
名山综合,http://192.168.1.234:8000/hls/-2717641776180720698
名山综合,http://192.168.1.234:8000/hls/-3908352547640580116
夹江新闻综合,http://192.168.1.234:8000/hls/5171123117097679894
夹江新闻综合,http://192.168.1.234:8000/hls/-4708993116206734520
夹江新闻综合,http://192.168.1.234:8000/hls/-4558883830338794540
夹江新闻综合,http://192.168.1.234:8000/hls/4178021692002679982
宝兴综合,http://192.168.1.234:8000/hls/-2116781723350076081
小金综合,http://192.168.1.234:8000/hls/-9134791376087835750
广安公共,http://192.168.1.234:8000/hls/4767519295358620500
广安公共,http://192.168.1.234:8000/hls/-474792691106570715
广安公共,http://192.168.1.234:8000/hls/-7465225909136669826
康定综合,http://192.168.1.234:8000/hls/3440201374357042767
旺苍新闻综合,http://192.168.1.234:8000/hls/2978795337283445748
朝天综合,http://192.168.1.234:8000/hls/7864010795686360455
沐川综合,http://192.168.1.234:8000/hls/4561265908088933564
石棉综合,http://192.168.1.234:8000/hls/7021686163525282600
荥经综合,http://192.168.1.234:8000/hls/-2983120940142368422
西昌综合,http://192.168.1.234:8000/hls/-8672753525453226123
金川新闻综合,http://192.168.1.234:8000/hls/-8204765226426537295
金川新闻综合,http://192.168.1.234:8000/hls/349567867280399132
长宁综合,http://192.168.1.234:8000/hls/5048995747583685216
长宁综合,http://192.168.1.234:8000/hls/-7247894608426696379
青川综合,http://192.168.1.234:8000/hls/-7045083406357530823
马尔康综合,http://192.168.1.234:8000/hls/-1756488362108505168

☘️陕西频道,#genre#

☘️福建频道,#genre#
晋江电视台,http://192.168.1.234:8000/hls/-5203650390938625146

☘️海南频道,#genre#

☘️河南频道,#genre#
周口扶沟,http://192.168.1.234:8000/hls/-9191728723673424917
河南都市,http://192.168.1.234:8000/hls/-3389238541138956348

☘️河北频道,#genre#
河北都市,http://192.168.1.234:8000/hls/3431825752084159772

☘️贵州频道,#genre#

☘️甘肃频道,#genre#
临夏州综合,http://192.168.1.234:8000/hls/5134227562819123349
嘉峪关综合,http://192.168.1.234:8000/hls/-534771368486398393
天祝综合,http://192.168.1.234:8000/hls/-4707417829548833940
成县综合,http://192.168.1.234:8000/hls/-4421611076538277715
永昌综合,http://192.168.1.234:8000/hls/-8753224519056851977
渭源新闻,http://192.168.1.234:8000/hls/2771410707926473025
白银综合,http://192.168.1.234:8000/hls/-6591597022434697241
白银综合,http://192.168.1.234:8000/hls/5008290509819736784
秦安综合,http://192.168.1.234:8000/hls/4968492814796324424
秦安综合,http://192.168.1.234:8000/hls/2552002140978709076
秦安综合,http://192.168.1.234:8000/hls/-7378137084409879091
秦安综合,http://192.168.1.234:8000/hls/-5268947024793312638
西峰综合,http://192.168.1.234:8000/hls/-3354011196313599322

☘️新疆频道,#genre#
哈密一套,http://192.168.1.234:8000/hls/-8124758849132892017
哈密二套,http://192.168.1.234:8000/hls/755118793737268566
哈密三套,http://192.168.1.234:8000/hls/8907953936381827808
兵团四师可克达拉综合,http://192.168.1.234:8000/hls/-8732698442090034004
兵团五师双河新闻综合,http://192.168.1.234:8000/hls/-8412812305899580949
