🕘️更新时间,#genre#
2025-12-24 22:50:39,http://192.168.1.234:8000/live/4733635222734501871

📺央视频道,#genre#
CCTV-1,http://192.168.1.234:8000/live/4733635222734501871
CCTV-1,http://192.168.1.234:8000/live/-8182287957631293228
CCTV-1,http://192.168.1.234:8000/live/-8777127685827322385
CCTV-2,http://192.168.1.234:8000/live/7966402085123070878
CCTV-2,http://192.168.1.234:8000/live/-8041692455941384231
CCTV-2,http://192.168.1.234:8000/live/5275964994121904297
CCTV-2,http://192.168.1.234:8000/live/2188357678763090140
CCTV-3,http://192.168.1.234:8000/live/-1016446513422862651
CCTV-3,http://192.168.1.234:8000/live/-5029619055666454074
CCTV-3,http://192.168.1.234:8000/live/-1189637862134056926
CCTV-3,http://192.168.1.234:8000/live/-8894472027864959977
CCTV-4,http://192.168.1.234:8000/live/-634406601424838020
CCTV-4,http://192.168.1.234:8000/live/-304792475423058661
CCTV-4,http://192.168.1.234:8000/live/-310690603603137573
CCTV-4,http://192.168.1.234:8000/live/4665106088625595232
CCTV-4,http://192.168.1.234:8000/live/2231768225399028933
CCTV-4,http://192.168.1.234:8000/live/-6831494757271077216
CCTV-5,http://192.168.1.234:8000/live/-1937746353739475148
CCTV-5,http://192.168.1.234:8000/live/-3985656832026110195
CCTV-5,http://192.168.1.234:8000/live/-533600192701407597
CCTV-5,http://192.168.1.234:8000/live/5572395788060400160
CCTV-5,http://192.168.1.234:8000/live/138840917891296028
CCTV-5,http://192.168.1.234:8000/live/5112614217365220770
CCTV-5+,http://192.168.1.234:8000/live/785006420526065876
CCTV-5+,http://192.168.1.234:8000/live/-861129872739793758
CCTV-6,http://192.168.1.234:8000/live/5315323323143294873
CCTV-6,http://192.168.1.234:8000/live/4482190393670352438
CCTV-6,http://192.168.1.234:8000/live/-684206772361039008
CCTV-6,http://192.168.1.234:8000/live/-2498002345237980832
CCTV-6,http://192.168.1.234:8000/live/-3161811573462627639
CCTV-6,http://192.168.1.234:8000/live/105867773391090101
CCTV-7,http://192.168.1.234:8000/live/6027315289684416894
CCTV-7,http://192.168.1.234:8000/live/-5541047626752119692
CCTV-8,http://192.168.1.234:8000/live/5374689840233343757
CCTV-9,http://192.168.1.234:8000/live/2554302867519962916
