🕘️更新时间,#genre#
2025-12-24 22:50:38,http://175.8.28.207:9999/tsfile/live/0001_1.m3u8

📺央视频道,#genre#
CCTV-1,http://175.8.28.207:9999/tsfile/live/0001_1.m3u8
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV-1
CCTV-1,http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://yp.qqqtv.top/1/api.php?id=CCTV-2%E8%B4%A2%E7%BB%8F&auth=666858
CCTV-2,http://111.221.137.155:44330/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2,http://175.8.28.207:9999/tsfile/live/0002_1.m3u8
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV-2
CCTV-3,http://111.221.137.155:44330/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-3,http://yp.qqqtv.top/1/api.php?id=CCTV-3HD&auth=666858
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV-3
CCTV-3,http://175.8.28.207:9999/tsfile/live/0003_1.m3u8
CCTV-4,https://play.kankanlive.com/live/1698234936258960.m3u8
CCTV-4,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8
CCTV-4,http://yp.qqqtv.top/1/api.php?id=CCTV-4HD&auth=666858
CCTV-4,http://112.99.193.34:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://175.8.28.207:9999/tsfile/live/0004_1.m3u8
CCTV-4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8
CCTV-5,http://111.221.137.155:44330/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV-5plus
CCTV-5,http://yp.qqqtv.top/1/api.php?id=CCTV-5%2BHD&auth=666858
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV-5
CCTV-5,http://112.99.193.34:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://175.8.28.207:9999/tsfile/live/0005_1.m3u8
CCTV-5+,http://120.211.62.180:8000/hls/18/index.m3u8
CCTV-5+,http://111.221.137.155:44330/tsfile/live/0016_1.m3u8?key=txiptv
CCTV-6,http://xxwx.yoesun.com/xxw/1905电影网.php?id=cctv6
CCTV-6,http://yp.qqqtv.top/1/api.php?id=CCTV-6%E7%94%B5%E5%BD%B1&auth=666858
CCTV-6,http://111.221.137.155:44330/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV-6
CCTV-6,http://yp.qqqtv.top/1/api.php?id=CCTV-6HD&auth=666858
CCTV-6,http://175.8.28.207:9999/tsfile/live/0006_1.m3u8
CCTV-7,http://yp.qqqtv.top/1/api.php?id=CCTV-7HD&auth=666858
CCTV-7,http://111.221.137.155:44330/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8,http://175.8.28.207:9999/tsfile/live/0008_1.m3u8
CCTV-9,https://play.kankanlive.com/live/1698423397390920.m3u8
CCTV-9,https://v4-681c4e93f62c2089d39b368c6a1858bd.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=225d94294ff0ad750b2fe7fe653419c0
CCTV-9,http://175.8.28.207:9999/tsfile/live/0009_1.m3u8
CCTV-10,http://yp.qqqtv.top/1/api.php?id=CCTV-10%E7%A7%91%E6%95%99&auth=666858
CCTV-10,http://120.211.62.180:8000/hls/10/index.m3u8
CCTV-10,https://play.kankanlive.com/live/1698423445959919.m3u8
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV-10
CCTV-10,http://yp.qqqtv.top/1/api.php?id=CCTV-10HD&auth=666858
CCTV-10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://175.8.28.207:9999/tsfile/live/0010_1.m3u8
CCTV-11,http://120.211.62.180:8000/hls/11/index.m3u8
CCTV-11,https://play.kankanlive.com/live/1698423476198918.m3u8
CCTV-11,http://175.8.28.207:9999/tsfile/live/0011_1.m3u8
CCTV-12,http://yp.qqqtv.top/1/api.php?id=CCTV-12%E7%A4%BE%E4%BC%9A%E4%B8%8E%E6%B3%95&auth=666858
CCTV-12,http://120.211.62.180:8000/hls/12/index.m3u8
CCTV-12,https://play.kankanlive.com/live/1698423511884917.m3u8
CCTV-12,http://175.8.28.207:9999/tsfile/live/0012_1.m3u8
CCTV-13,http://120.211.62.180:8000/hls/13/index.m3u8
CCTV-13,https://play.kankanlive.com/live/1698423543275916.m3u8
CCTV-14,https://play.kankanlive.com/live/1698423575756915.m3u8
CCTV-15,https://play.kankanlive.com/live/1698423607826914.m3u8
CCTV-15,http://yp.qqqtv.top/1/api.php?id=CCTV-15HD&auth=666858
CCTV-16,https://iptv.catvod.com/live.php?id=CCTV-16
CCTV-17,http://yp.qqqtv.top/1/api.php?id=CCTV-17%E5%86%9C%E4%B8%9A%E5%86%9C%E6%9D%91&auth=666858
CCTV-17,http://120.211.62.180:8000/hls/17/index.m3u8
CCTV-17,https://play.kankanlive.com/live/1698423272597921.m3u8
CCTV-17,https://iptv.catvod.com/live.php?id=CCTV-17
CETV-1,http://171.83.103.119:9999/rtp/239.69.1.110:10298
CETV-1,http://112.254.55.106:22222/rtp/239.253.254.110:8000
CETV-4,http://116.237.37.244:8888/rtp/239.45.1.243:5140
CETV-4,http://112.254.55.106:22222/rtp/239.253.254.116:8000

💰央视付费频道,#genre#
文化精品,http://171.125.90.120:6001/rtp/226.0.2.219:9664
央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8
风云音乐,http://171.83.103.119:9999/rtp/239.69.1.90:10180
风云音乐,http://yp.qqqtv.top/1/api.php?id=CCTV-%E9%A3%8E%E4%BA%91%E9%9F%B3%E4%B9%90&auth=666858
第一剧场,http://171.83.103.119:9999/rtp/239.69.1.74:10084
第一剧场,http://hmfs.f3322.net:3388/hls/21/index.m3u8
第一剧场,http://yp.qqqtv.top/1/api.php?id=CCTV-%E7%AC%AC%E4%B8%80%E5%89%A7%E5%9C%BA&auth=666858
怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
怀旧剧场,http://171.83.103.119:9999/rtp/239.69.1.89:10174
怀旧剧场,http://yp.qqqtv.top/1/api.php?id=CCTV-%E6%80%80%E6%97%A7%E5%89%A7%E5%9C%BA&auth=666858
女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
高尔夫网球,http://yp.qqqtv.top/1/api.php?id=CCTV-%E9%AB%98%E5%B0%94%E5%A4%AB%E7%BD%91%E7%90%83&auth=666858
风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
风云足球,http://yp.qqqtv.top/1/api.php?id=CCTV-%E9%A3%8E%E4%BA%91%E8%B6%B3%E7%90%83&auth=666858
风云足球,http://hmfs.f3322.net:3388/hls/9/index.m3u8
电视指南,http://171.83.103.119:9999/rtp/239.69.1.87:10162
世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
世界地理,http://yp.qqqtv.top/1/api.php?id=CCTV-%E4%B8%96%E7%95%8C%E5%9C%B0%E7%90%86&auth=666858
世界地理,http://hmfs.f3322.net:3388/hls/28/index.m3u8
